,Size & Momentum(2X3) Big - Down,Size & Momentum(2X3) Big - Medium,Size & Momentum(2X3x) BIg - Up,Size & Momentum(2X3) Small - Down,Size & Momentum(2X3) Small - Medium,Size & Momentum(2X3) Small - Up,UMD
2001-01-03 00:00:00,1.88,-0.26,0.39,3.58,2.52,4.58,-0.2450000000000001
2001-01-04 00:00:00,9.05,7.41,3.07,9.17,5.05,6.12,-4.515
2001-01-05 00:00:00,7.46,3.74,1.99,1.7,-0.77,-0.9,-4.035
2001-01-08 00:00:00,3.75,0.58,1.93,3.04,2.34,3.66,-0.6000000000000001
2001-01-09 00:00:00,2.35,0.19,1.91,4.96,3.1,4.41,-0.4950000000000001
2001-01-10 00:00:00,-7.71,-4.78,-3.81,-6.22,-4.51,-6.07,2.0249999999999995
2001-01-11 00:00:00,6.29,-0.38,0.2,5.82,3.86,3.33,-4.289999999999999
2001-01-12 00:00:00,4.87,5.3,3.65,2.43,1.42,2.03,-0.8100000000000005
2001-01-15 00:00:00,6.99,1.78,1.08,4.87,2.4,2.81,-3.9849999999999994
2001-01-16 00:00:00,3.02,0.46,0.18,-0.2,-1.35,0.74,-0.95
2001-01-17 00:00:00,-4.13,-1.12,-1.01,-3.93,-0.28,-0.33,3.3600000000000003
2001-01-18 00:00:00,0.98,1.49,0.2,-0.35,-0.08,-1.28,-0.855
2001-01-19 00:00:00,4.58,2.68,1.41,0.47,-0.17,-1.1,-2.37
2001-01-22 00:00:00,6.83,0.85,1.45,6.72,3.12,3.15,-4.4750000000000005
2001-01-23 00:00:00,6.83,0.85,1.45,6.72,3.12,3.15,-4.4750000000000005
2001-01-24 00:00:00,6.83,0.85,1.45,6.72,3.12,3.15,-4.4750000000000005
2001-01-25 00:00:00,6.83,0.85,1.45,6.72,3.12,3.15,-4.4750000000000005
2001-01-26 00:00:00,-7.07,-5.83,-2.55,-1.63,-1.07,-0.06,3.045
2001-01-29 00:00:00,0.58,0.4,1.97,5.62,4.5,5.21,0.48999999999999977
2001-01-30 00:00:00,-0.72,-1.14,0.17,2.79,2.87,3.35,0.7249999999999999
2001-01-31 00:00:00,3.61,5.12,2.26,-0.05,-0.37,-0.53,-0.9150000000000001
2001-02-01 00:00:00,-3.12,-0.9,0.13,-0.88,0.06,0.72,2.425
