,Size & Book Value(2X3) Big - High,Size & Book Value(2X3) Big - Low,Size & Book Value(2X3) Big - Medium,Size & Book Value(2X3) Small - High,Size & Book Value(2X3) Small - Low,Size & Book Value(2X3) Small - Medium,SMB,HML
2000-09-22 00:00:00,-4.62,-7.84,-7.22,-3.86,-6.12,-5.89,-1.2699999999999996,2.74
2000-09-25 00:00:00,4.46,4.59,6.38,2.16,2.44,3.19,2.5466666666666673,-0.20499999999999963
2000-09-26 00:00:00,-0.05,2.24,0.32,1.6,3.01,2.29,-1.463333333333333,-1.85
2000-09-27 00:00:00,2.79,4.22,1.57,2.11,3.76,2.33,0.12666666666666693,-1.5399999999999996
2000-09-28 00:00:00,1.29,2.32,0.37,-0.36,0.36,-0.02,1.3333333333333333,-0.8749999999999998
2000-09-29 00:00:00,1.78,4.54,-0.07,1.4,3.15,1.78,-0.026666666666666394,-2.255
2000-10-02 00:00:00,-2.5,-2.92,-4.08,0.18,-0.1,1.13,-3.57,0.3500000000000001
2000-10-03 00:00:00,-2.5,-2.92,-4.08,0.18,-0.1,1.13,-3.57,0.3500000000000001
2000-10-04 00:00:00,1.53,0.08,1.88,2.55,2.63,2.46,-1.383333333333333,0.685
2000-10-05 00:00:00,-0.11,2.67,1.47,0.59,2.21,0.81,0.14000000000000012,-2.2
2000-10-06 00:00:00,-0.62,2.53,-0.22,-0.85,0.6,-0.37,0.7699999999999999,-2.3
2000-10-09 00:00:00,-1.22,-2.88,-3.32,-1.18,-0.37,-1.05,-1.6066666666666665,0.42500000000000004
2000-10-10 00:00:00,0.2,-0.12,-0.38,-0.41,1.03,-0.14,-0.26,-0.56
2000-10-11 00:00:00,-2.37,-7.2,-5.43,-2.72,-4.72,-3.05,-1.5033333333333339,3.415
2000-10-12 00:00:00,-4.33,-4.77,-3.63,-0.06,0.4,0.17,-4.413333333333333,-0.010000000000000231
2000-10-13 00:00:00,-1.69,-1.59,-2.5,-1.98,-4.01,-2.16,0.79,0.9649999999999999
2000-10-16 00:00:00,2.64,8.24,4.16,5.19,7.47,6.3,-1.3066666666666666,-3.9400000000000004
2000-10-17 00:00:00,-5.72,-5.83,-7.73,-2.55,-4.7,-3.87,-2.7199999999999998,1.1300000000000008
2000-10-18 00:00:00,0.44,1.51,-0.55,-0.71,0.03,-0.92,1,-0.905
2000-10-19 00:00:00,-0.8,0.54,-0.22,0.49,0.57,0.4,-0.6466666666666666,-0.71
2000-10-20 00:00:00,3.53,7.06,5.34,1.51,2.06,1.99,3.456666666666666,-2.0399999999999996
2000-10-23 00:00:00,-2.91,-2.6,-4.02,-1.35,-1.85,-0.86,-1.8233333333333328,0.0950000000000002
